Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,Line,102.200003,140.0,4.0,146.800003,140.0,4.0,NA,NA,NA
2,Line,99.200001,134.800005,4.0,99.200001,136.999998,4.0,NA,NA,NA
3,Line,99.6,134.399996,4.0,113.800001,134.399996,4.0,NA,NA,NA
4,Line,113.800001,134.399996,4.0,116.199999,134.399996,4.0,NA,NA,NA
5,Line,116.199999,134.399996,4.0,127.599993,134.399996,4.0,NA,NA,NA
6,Line,130.999985,121.999998,4.0,130.999985,131.000004,4.0,NA,NA,NA
7,Line,132.999983,120.0,4.0,146.800003,120.0,4.0,NA,NA,NA
8,Line,150.800009,124.000006,4.0,150.800009,136.000004,4.0,NA,NA,NA
9,3_point_arc_1,102.200003,140.0,4.0,100.078676,139.121325,4.0,99.200001,136.999998,4.0
10,3_point_arc_2,99.200001,134.800005,4.0,99.317153,134.517155,4.0,99.6,134.399996,4.0
11,3_point_arc_3,127.599993,134.399996,4.0,130.004168,133.404179,4.0,130.999985,131.000004,4.0
12,3_point_arc_4,130.999985,121.999998,4.0,131.585777,120.585792,4.0,132.999983,120.0,4.0
13,3_point_arc_5,146.800003,120.0,4.0,149.628434,121.171575,4.0,150.800009,124.000006,4.0
14,3_point_arc_6,150.800009,136.000004,4.0,149.628432,138.82843,4.0,146.800003,140.0,4.0
15,3_point_circle_1,143.550003,130.00001,4.0,139.425,132.381581,4.0,139.425,127.618438,4.0
